"order_id","products"
2360004,"7"
3016220,"26"
1340302,"41"
1725738,"58"
1256612,"68"
681996,"68"
776098,"68"
2903722,"68"
2438118,"78"
2496566,"82"
3358494,"91"
875450,"106"
2829403,"106"
1611306,"107"
2737409,"107"
2433162,"132"
33631,"137"
551708,"137"
1784193,"137"
2353247,"137"
234890,"137"
452934,"140"
1908901,"159"
977893,"168"
2145248,"168"
2863246,"168"
3200489,"179"
3323712,"179"
727722,"188"
1466483,"190"
3123095,"208"
89483,"217"
1318289,"217"
2369122,"219"
2610772,"235"
2629259,"251"
276775,"257"
2151470,"257"
601120,"281"
1185124,"282"
1732874,"285"
1467997,"289"
742552,"293"
2499739,"306"
3151270,"306"
1477042,"309"
2105932,"309"
1914350,"331"
2749743,"332"
680275,"356"
2078269,"356"
2802743,"356"
281816,"360"
654035,"373"
2319069,"392"
3045266,"392"
3266336,"392"
2301924,"392"
2578776,"393"
420239,"396"
2038348,"396"
2406950,"427"
713757,"427"
935230,"427"
1193755,"427"
2957839,"431"
2153905,"443"
2336864,"456"
322271,"469"
682217,"469"
1616424,"469"
2294610,"469"
2663313,"469"
1527664,"508"
223925,"528"
2912773,"530"
2255474,"537"
728404,"549"
3275388,"550"
1383417,"552"
1650019,"567"
1686972,"575"
811067,"575"
1202935,"585"
3196781,"586"
931311,"589"
2061098,"589"
2385933,"589"
920242,"597"
1664421,"597"
3219561,"597"
1068766,"597"
1939837,"597"
3080925,"598"
1473647,"598"
1199691,"600"
2273053,"601"
3283970,"602"
981805,"608"
3016069,"613"
2665628,"626"
52811,"633"
915819,"633"
1418524,"633"
2164834,"633"
3231939,"633"
1572999,"637"
2440395,"643"
590967,"659"
378346,"659"
1352547,"659"
2010056,"659"
1973835,"665"
224763,"671"
439506,"679"
2701508,"679"
431647,"683"
3400236,"693"
2770383,"736 48280"
1468548,"740"
80505,"749"
297812,"749"
623957,"749"
1051775,"749"
1057794,"749"
1251345,"749"
1989257,"749"
2564849,"749"
2708351,"749"
260048,"762"
3414903,"765"
2993135,"768"
1186716,"779"
331345,"793"
3065007,"793"
181038,"814"
1214307,"835"
2660994,"835"
2130292,"838"
834992,"841"
1689720,"853"
3080074,"873"
46430,"880"
967149,"885"
1299279,"885"
1887421,"885"
2550044,"886"
2058175,"891"
241944,"892"
1433886,"892"
